step,metric,value
0,train_mse,0.8377434611
1,train_mse,0.8273001313
2,train_mse,0.3098316789
3,train_mse,0.2728344202
4,train_mse,0.2602187395
5,train_mse,0.2539943159
6,train_mse,0.2523522079
7,train_mse,0.2490077019
8,train_mse,0.2442636937
9,train_mse,0.240811944
10,train_mse,0.2390848547
11,train_mse,0.2360668182
12,train_mse,0.234529987
13,train_mse,0.232936278
14,train_mse,0.2304778099
15,train_mse,0.2283887863
16,train_mse,0.2269932181
17,train_mse,0.2260594964
18,train_mse,0.2252138555
19,train_mse,0.2240618765
20,train_mse,0.223229751
21,train_mse,0.2231761664
22,train_mse,0.2223579884
23,train_mse,0.2209613919
24,train_mse,0.220276475
25,train_mse,0.2198309153
26,train_mse,0.21902062
27,train_mse,0.2180771977
28,train_mse,0.2177181542
29,train_mse,0.2174075246
30,train_mse,0.2165583819
31,train_mse,0.2160303295
32,train_mse,0.215738818
33,train_mse,0.2152879983
34,train_mse,0.2145864815
35,train_mse,0.2140725404
36,train_mse,0.2135228664
37,train_mse,0.2129442692
38,train_mse,0.2124155015
39,train_mse,0.2118288279
40,train_mse,0.2112755924
41,train_mse,0.2107340991
42,train_mse,0.210528478
43,train_mse,0.2100043595
44,train_mse,0.2095620036
45,train_mse,0.2090099305
46,train_mse,0.2086785436
47,train_mse,0.2080955356
48,train_mse,0.2073702365
49,train_mse,0.2070464045
50,train_mse,0.2068295032
50,s2_gate_pass,0
