step,loss_total
1,0.02668881230056286
2,0.025684716179966927
3,0.02385818213224411
4,0.01889556273818016
5,0.021325476467609406
6,0.01391848549246788
7,0.02356094866991043
8,0.01609128713607788
9,0.014433649368584156
10,0.013431730680167675
11,0.012157727964222431
12,0.011913814581930637
13,0.01089525781571865
14,0.016359053552150726
15,0.02795923501253128
16,0.016182877123355865
17,0.01297840103507042
18,0.009403711184859276
19,0.015196677297353745
20,0.009064823389053345
21,0.02543308585882187
22,0.017762746661901474
23,0.009099707007408142
24,0.012850165367126465
25,0.013961631804704666
26,0.025088705122470856
27,0.016143281012773514
28,0.015730034559965134
29,0.018323780968785286
30,0.031344860792160034
31,0.010857566259801388
32,0.02254687063395977
33,0.013673968613147736
34,0.015073314309120178
35,0.019641052931547165
36,0.021251393482089043
37,0.022493857890367508
38,0.016353493556380272
39,0.01941191963851452
40,0.012728932313621044
41,0.015468510799109936
42,0.016772545874118805
43,0.013299890793859959
44,0.01583212986588478
45,0.017581164836883545
46,0.011925210244953632
47,0.014296144247055054
48,0.010017749853432178
49,0.013644338585436344
50,0.013479930348694324
