lr_cell,step,median_var_ratio,median_pearson_r,n_seeds
lr=1e-04,0,5.4224905528966045e-06,-0.0345065811242282,3
lr=1e-04,100,6.028626873713541e-05,0.012864478645669608,3
lr=1e-04,250,1.690787334053615e-05,-0.010762079317089017,3
lr=1e-04,500,9.093282701543057e-06,0.04575801673322912,3
lr=1e-04,750,5.675030255733315e-06,0.007479497337860951,3
lr=1e-04,1000,4.379973039308139e-06,0.017751855661349052,3
lr=5e-04,0,5.4224905528966045e-06,-0.0345065811242282,3
lr=5e-04,100,2.0633542289264177e-05,0.03995750130961554,3
lr=5e-04,250,3.0095046143758027e-05,-0.04633073232820763,3
lr=5e-04,500,1.2395785768262527e-05,0.03873443317214453,3
lr=5e-04,750,8.24786767323189e-06,0.021301756398424312,3
lr=5e-04,1000,4.973420752690487e-06,0.02449519231059544,3
lr=1e-03,0,5.4224905528966045e-06,-0.0345065811242282,3
lr=1e-03,100,2.484421195063403e-05,0.0232939303248981,3
lr=1e-03,250,4.5947370009610556e-05,-0.050494045350638055,3
lr=1e-03,500,1.0508431866989817e-05,0.033046087801127395,3
lr=1e-03,750,5.1845563629713835e-06,0.00911972924548773,3
lr=1e-03,1000,2.6959827088756623e-06,0.007935375827223324,3
