k_parallel_s_per_km,P_F_sat_aware,P_F_truth,pred_over_truth,rel_diff,in_gate_band
0.001122018454301963,1.999818202168364,1.7311696535407903,1.1551832589475572,0.15518325894755733,0
0.0022387211385683377,1.8256378542499179,2.0909892224598114,0.8730976872765811,-0.12690231272341893,0
0.0035481338923357532,0.8869897349424736,1.989488584767759,0.4458380619690841,-0.5541619380309158,1
0.004466835921509635,0.9003742196597914,1.741566359521933,0.5169910493143355,-0.4830089506856646,1
0.005623413251903491,0.5447708094331442,1.6747471313145197,0.32528541130000327,-0.6747145886999967,1
0.0070794578438413735,0.4176335141863055,1.6170502718922373,0.2582687263628482,-0.7417312736371519,1
0.008912509381337459,0.9878124476819503,1.4638458858809904,0.6748063147968971,-0.3251936852031029,1
0.011220184543019636,0.589140268088558,1.2574228958555687,0.4685299353386583,-0.5314700646613417,1
0.014125375446227547,0.42973259858980595,1.1558381097628914,0.37179306942731044,-0.6282069305726895,1
0.01778279410038923,0.5330322873350786,0.9567288643821155,0.5571403844696659,-0.4428596155303342,1
0.0223872113856834,0.26867286511884514,0.7823426127253753,0.3434209779049285,-0.6565790220950715,1
0.02818382931264455,0.19709216747102784,0.5959316359971801,0.33072949238754706,-0.6692705076124529,1
0.03548133892335755,0.07836607644020215,0.4154009932368861,0.1886516347242174,-0.8113483652757826,0
0.04466835921509633,0.04342904340910209,0.26811218255132424,0.16198086560571917,-0.8380191343942809,0
0.05623413251903491,0.021928836211892358,0.14886173336491487,0.147310095860141,-0.8526899041398591,0
0.0707945784384138,0.011249064787223257,0.07434277913703068,0.15131348219426485,-0.8486865178057351,0
0.08912509381337459,0.005310901666676625,0.032392429811471043,0.16395502583742236,-0.8360449741625777,0
