k_parallel_s_per_km,P_F_mlp,P_F_truth
0.001122018454301963,5.915834738565127,1.7311696535407908
0.0022387211385683377,5.422479394660066,2.0909892224598114
0.0035481338923357532,2.859237760529656,1.9894885847677588
0.004466835921509635,3.1808804370905914,1.7415663595219328
0.005623413251903491,1.6395600604934977,1.6747471313145195
0.0070794578438413735,0.807108776814613,1.6170502718922375
0.008912509381337459,1.8819876169337975,1.4638458858809904
0.011220184543019636,0.8684110439662105,1.2574228958555687
0.014125375446227547,0.4949644458888529,1.1558381097628914
0.01778279410038923,1.367245969577552,0.9567288643821155
0.0223872113856834,0.5322765000284538,0.7823426127253753
0.02818382931264455,0.3252639251250196,0.5959316359971801
0.03548133892335755,0.3466088831243249,0.4154009932368861
0.04466835921509633,0.18558619430713186,0.26811218255132424
0.05623413251903491,0.12764376438883612,0.14886173336491487
0.0707945784384138,0.0843742516812815,0.07434277913703068
0.08912509381337459,0.04824514302658791,0.03239242981147104
